2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
Bachelor's degree,LOS050,5 years,YSG05,Social and behavioural sciences,FOS207,1462 Letter carriers,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,Total - Occupation (2006 NOC - HRSDC),6895,6440,6135,300,455,0.89,0.05,0.07,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4152 Social workers,3290,3200,3135,60,95,0.95,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4212 Community and social service workers,990,970,915,55,15,0.92,0.06,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"4153 Family, marriage and other related counsellors",365,340,335,0,25,0.92,0.00,0.07,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4214 Early childhood educators and assistants,145,135,110,0,0,0.76,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4213 Employment counsellors,90,90,85,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4142 Elementary school and kindergarten teachers,85,80,60,0,0,0.71,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"6471 Visiting homemakers, housekeepers and related occupations",80,80,80,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1411 General office clerks,60,55,50,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"3413 Nurse aides, orderlies and patient service associates",55,50,50,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4122 Post-secondary teaching and research assistants,55,50,45,0,0,0.82,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4155 Probation and parole officers and related occupations,50,55,55,0,0,1.10,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,6472 Elementary and secondary school teacher assistants,45,45,45,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"6641 Food counter attendants, kitchen helpers and related occupations",45,45,40,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"0314 Managers in social, community and correctional services",40,35,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1221 Administrative officers,40,35,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"1453 Customer service, information and related clerks",40,40,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4154 Ministers of religion,40,40,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4143 Educational counsellors,35,30,25,0,0,0.71,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4215 Instructors and teachers of persons with disabilities,35,35,35,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,3152 Registered nurses,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"4165 Health policy researchers, consultants and program officers",30,20,20,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,6421 Retail salespersons and sales clerks,30,25,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,0621 Retail trade managers,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1431 Accounting and related clerks,25,30,30,0,0,1.20,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"4164 Social policy researchers, consultants and program officers",25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"6474 Babysitters, nannies and parents' helpers",25,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1121 Specialists in human resources,20,10,10,0,0,0.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,"1228 Immigration, employment insurance and revenue officers",20,20,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1241 Secretaries (except legal and medical),20,20,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4131 College and other vocational instructors,20,15,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,6453 Food and beverage servers,20,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,6611 Cashiers,20,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,0114 Other administrative services managers,15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1231 Bookkeepers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1232 Loan officers,15,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,1433 Customer service representatives - financial services,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,4141 Secondary school teachers,15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Social work,FOS21007,6462 Correctional service officers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,Total - Occupation (2006 NOC - HRSDC),8460,7765,7215,545,695,0.85,0.07,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4212 Community and social service workers,450,440,430,10,0,0.96,0.02,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1411 General office clerks,345,330,320,0,10,0.93,0.00,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4152 Social workers,255,250,250,0,0,0.98,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6421 Retail salespersons and sales clerks,210,200,155,45,0,0.74,0.23,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"1453 Customer service, information and related clerks",185,180,165,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,0621 Retail trade managers,180,180,180,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4142 Elementary school and kindergarten teachers,180,170,165,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1221 Administrative officers,175,175,175,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4214 Early childhood educators and assistants,165,155,155,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1121 Specialists in human resources,150,145,140,0,0,0.93,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6261 Police officers (except commissioned),150,150,150,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4122 Post-secondary teaching and research assistants,135,95,75,0,40,0.56,0.00,0.30,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,5124 Professional occupations in public relations and communications,135,135,135,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1223 Personnel and recruitment officers,130,130,125,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6453 Food and beverage servers,130,95,85,0,40,0.65,0.00,0.31,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4213 Employment counsellors,115,115,120,0,0,1.04,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"0122 Banking, credit and other investment managers",110,105,110,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1433 Customer service representatives - financial services,105,105,110,0,0,1.05,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6411 Sales representatives, wholesale trade (non-technical)",105,105,105,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6472 Elementary and secondary school teacher assistants,105,95,85,0,0,0.81,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"0611 Sales, marketing and advertising managers",100,100,90,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1414 Receptionists and switchboard operators/1424 Telephone operators,100,95,100,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4153 Family, marriage and other related counsellors",100,105,95,0,0,0.95,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4164 Social policy researchers, consultants and program officers",95,90,85,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1222 Executive assistants,80,75,75,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,3152 Registered nurses,80,60,60,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6471 Visiting homemakers, housekeepers and related occupations",80,65,65,0,0,0.81,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"1212 Supervisors, finance and insurance clerks",75,75,80,0,0,1.07,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1422 Data entry clerks,75,60,50,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6462 Correctional service officers,75,75,75,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"0121 Insurance, real estate and financial brokerage managers",70,65,65,0,0,0.93,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1111 Financial auditors and accountants,70,70,70,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4131 College and other vocational instructors,70,70,60,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4155 Probation and parole officers and related occupations,70,70,70,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4169 Other professional occupations in social science, n.e.c.",70,70,55,0,0,0.79,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1232 Loan officers,65,70,60,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4211 Paralegal and related occupations,65,70,65,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6651 Security guards and related occupations/6465 Other protective service occupations,65,60,60,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1233 Insurance adjusters and claims examiners,60,40,45,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4163 Business development officers and marketing researchers and consultants,60,65,60,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1122 Professional occupations in business services to management,55,45,45,0,0,0.82,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1431 Accounting and related clerks,55,55,55,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4141 Secondary school teachers,55,55,50,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4143 Educational counsellors,55,55,45,0,0,0.82,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1114 Other financial officers,50,50,50,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"1434 Banking, insurance and other financial clerks",50,50,45,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"3413 Nurse aides, orderlies and patient service associates",50,50,40,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,8612 Landscaping and grounds maintenance labourers,50,50,25,0,0,0.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1474 Purchasing and inventory clerks,45,45,40,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4165 Health policy researchers, consultants and program officers",45,40,40,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6464 Other ranks, armed forces",45,45,45,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6661 Light duty cleaners,45,45,45,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,0112 Human resources managers,40,40,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,0631 Restaurant and food service managers,40,40,30,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"1228 Immigration, employment insurance and revenue officers",40,40,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1471 Shippers and receivers,40,35,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,3414 Other assisting occupations in support of health services,40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"5254 Program leaders and instructors in recreation, sport and fitness",40,30,25,0,0,0.63,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6231 Insurance agents and brokers,40,35,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,0114 Other administrative services managers,35,40,40,0,0,1.14,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1226 Conference and event planners,35,30,25,0,0,0.71,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1241 Secretaries (except legal and medical),35,35,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4112 Lawyers and Québec notaries,35,30,15,0,0,0.43,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4121 University professors,35,35,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",35,35,35,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6611 Cashiers,35,35,35,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6641 Food counter attendants, kitchen helpers and related occupations",35,30,25,0,0,0.71,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"1213 Supervisors, library, correspondence and related information clerks",30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1231 Bookkeepers,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1234 Insurance underwriters,30,30,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"2161 Mathematicians, statisticians and actuaries",30,30,35,0,0,1.17,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4215 Instructors and teachers of persons with disabilities,30,35,35,0,0,1.17,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6622 Grocery clerks and store shelf stockers,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1475 Dispatchers and radio operators,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,2175 Web designers and developers,25,20,15,0,0,0.60,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4168 Program officers unique to government,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,5123 Journalists,25,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6452 Bartenders,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6482 Estheticians, electrologists and related occupations",25,25,15,0,0,0.60,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1413 Records management and filing clerks,20,15,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,3142 Physiotherapists,20,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4161 Natural and applied science policy researchers, consultants and program officers",20,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4166 Education policy researchers, consultants and program officers",20,25,25,0,0,1.25,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,4216 Other instructors,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,5122 Editors,20,20,25,0,0,1.25,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"5243 Theatre, fashion, exhibit and other creative designers",20,15,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6232 Real estate agents and salespersons,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,6242 Cooks,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,0111 Financial managers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1442 Personnel clerks,15,20,20,0,0,1.33,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,2174 Computer programmers and interactive media developers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"4167 Recreation, sports and fitness program supervisors and consultants",15,20,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,5121 Authors and writers,15,10,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,5241 Graphic designers and illustrators,15,20,20,0,0,1.33,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,"6474 Babysitters, nannies and parents' helpers",15,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,7452 Material handlers,15,20,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,1454 Survey interviewers and statistical clerks,10,10,10,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,Total - Occupation (2006 NOC - HRSDC),1130,1010,940,70,115,0.83,0.07,0.10,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,4154 Ministers of religion,305,300,305,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,4212 Community and social service workers,55,60,55,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,4217 Other religious occupations,40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,1411 General office clerks,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,"3413 Nurse aides, orderlies and patient service associates",25,25,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,6421 Retail salespersons and sales clerks,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Theology and religious vocations,FOS20604,"1453 Customer service, information and related clerks",15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,Total - Occupation (2006 NOC - HRSDC),4290,3975,3845,135,315,0.90,0.03,0.07,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3142 Physiotherapists,1105,1040,1025,0,65,0.93,0.00,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3143 Occupational therapists,1085,1010,1015,0,75,0.94,0.00,0.07,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3144 Other professional occupations in therapy and assessment,330,320,305,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3215 Medical radiation technologists,190,190,170,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,"3214 Respiratory therapists, clinical perfusionists and cardio-pulmonary technologists",175,170,175,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3235 Other technical occupations in therapy and assessment,125,120,125,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3216 Medical sonographers,80,85,80,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,"4167 Recreation, sports and fitness program supervisors and consultants",50,50,50,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3234 Ambulance attendants and other paramedical occupations,45,40,40,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3141 Audiologists and speech-language pathologists,40,35,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,"3413 Nurse aides, orderlies and patient service associates",40,40,20,0,0,0.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4212 Community and social service workers,40,30,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4214 Early childhood educators and assistants,40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,"5254 Program leaders and instructors in recreation, sport and fitness",40,30,25,0,0,0.63,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3152 Registered nurses,30,25,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4141 Secondary school teachers,30,20,20,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,"4153 Family, marriage and other related counsellors",30,30,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,6421 Retail salespersons and sales clerks,25,25,30,0,0,1.20,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,1111 Financial auditors and accountants,20,15,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3414 Other assisting occupations in support of health services,20,25,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,"4165 Health policy researchers, consultants and program officers",20,25,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,3219 Other medical technologists and technicians (except dental health),15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4121 University professors,15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4142 Elementary school and kindergarten teachers,15,10,10,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4152 Social workers,15,15,20,0,0,1.33,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,4215 Instructors and teachers of persons with disabilities,15,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,0112 Human resources managers,10,10,15,0,0,1.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,Total - Occupation (2006 NOC - HRSDC),419705,385090,366245,18845,34615,0.87,0.05,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4142 Elementary school and kindergarten teachers,24565,23740,23005,740,825,0.94,0.03,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,3152 Registered nurses,20095,19330,18820,510,760,0.94,0.03,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4141 Secondary school teachers,15570,15110,14875,230,460,0.96,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1111 Financial auditors and accountants,12555,12270,11965,310,290,0.95,0.03,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6421 Retail salespersons and sales clerks,8760,7940,7495,450,820,0.86,0.06,0.09,,
