2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"6663 Janitors, caretakers and building superintendents",30,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7241 Electricians (except industrial and power system),30,20,20,0,0,0.67,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"0016 Senior managers - goods production, utilities, transportation and construction",25,25,20,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1223 Personnel and recruitment officers,25,15,0,0,0,0.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"1235 Assessors, valuators and appraisers",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,2282 User support technicians,25,30,30,0,0,1.20,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,4211 Paralegal and related occupations,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6435 Hotel front desk clerks,25,20,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7246 Telecommunications installation and repair workers,25,30,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"9482 Motor vehicle assemblers, inspectors and testers",25,20,15,0,0,0.60,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,0112 Human resources managers,20,25,25,0,0,1.25,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,0651 Other services managers,20,25,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1122 Professional occupations in business services to management,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"1213 Supervisors, library, correspondence and related information clerks",20,25,25,0,0,1.25,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1472 Storekeepers and parts clerks,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"6474 Babysitters, nannies and parents' helpers",20,15,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7414 Delivery and courier service drivers,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7611 Construction trades helpers and labourers,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,8612 Landscaping and grounds maintenance labourers,20,15,15,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"1461 Mail, postal and related clerks",15,20,20,0,0,1.33,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,2242 Electronic service technicians (household and business equipment),15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,3235 Other technical occupations in therapy and assessment,15,15,20,0,0,1.33,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,4141 Secondary school teachers,15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6261 Police officers (except commissioned),15,10,10,0,0,0.67,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7271 Carpenters,15,10,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,0721 Facility operation and maintenance managers,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,4163 Business development officers and marketing researchers and consultants,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"6471 Visiting homemakers, housekeepers and related occupations",10,10,15,0,0,1.50,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,Total - Occupation (2006 NOC - HRSDC),7035,6500,6075,425,540,0.86,0.07,0.08,,
