"2013 National Graduates Survey (Class of 2009/2010) - Number of employed graduates, by educational information and extent to which their job was related to their certificate, diploma or degree",,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB_CODE,COUNTS,Percent
Master's degree,LOS070,Architecture and engineering ,FOS204,Somewhat related,JFOS02,587,0.2242
Master's degree,LOS070,Architecture and engineering ,FOS204,Not related at all,JFOS03,152,0.0581
Master's degree,LOS070,Architecture and engineering ,FOS204,Total,JFOS0,2618,1.00
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Closely related,JFOS01,1008,0.5422
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Somewhat related,JFOS02,612,0.3292
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Not related at all,JFOS03,239,0.1286
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Total,JFOS0,1859,1.00
Master's degree,LOS070,Humanities ,FOS206,Closely related,JFOS01,705,0.4709
Master's degree,LOS070,Humanities ,FOS206,Somewhat related,JFOS02,445,0.2973
Master's degree,LOS070,Humanities ,FOS206,Not related at all,JFOS03,346,0.2311
Master's degree,LOS070,Humanities ,FOS206,Total,JFOS0,1497,1.00
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Closely related,JFOS01,2295,0.6141
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Somewhat related,JFOS02,935,0.2502
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Not related at all,JFOS03,507,0.1357
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Total,JFOS0,3737,1.00
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Closely related,JFOS01,216,0.4146
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Somewhat related,JFOS02,221,0.4242
