"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"1798503132","09/16/15","ESL One NY 2015 Americas Qualifiers","HCWP","coL 2","DIRE","Semifinals","2","43.53","22 - 34"
"1798446856","09/16/15","The Defense 5 Qualifiers","MFF","GB","RADIANT","Group Stage","1","66.20","43 - 37"
"1798423449","09/16/15","ESL One NY 2015 Americas Qualifiers","HCWP","coL 2","DIRE","Semifinals","1","42.63","9 - 21"
"1798364407","09/16/15","The Defense 5 Qualifiers","nt123","ATN","RADIANT","Group Stage","2","27.92","26 - 13"
"1798246455","09/16/15","The Defense 5 Qualifiers","nt123","ATN","DIRE","Group Stage","1","46.37","16 - 36"
"1797416309","09/16/15","NanYang China Qualifiers","FTD.B","Bheart","DIRE","Group Stage","1","40.58","11 - 20"
"1797413489","09/16/15","NanYang China Qualifiers","CDEC.Y","Newbee.Y","RADIANT","Group Stage","1","29.20","33 - 10"
"1797286712","09/16/15","NanYang China Qualifiers","FTD.B","DK","RADIANT","Group Stage","1","37.42","39 - 35"
"1797285307","09/16/15","NanYang China Qualifiers","CDEC.Y","Team HGT","RADIANT","Group Stage","1","28.98","18 - 9"
"1796986406","09/16/15","NanYang China Qualifiers","Newbee.Y","FTD.A","DIRE","Group Stage","1","26.57","1 - 14"
"1796984185","09/16/15","NanYang China Qualifiers","DB 2","Bheart","RADIANT","Group Stage","1","46.45","33 - 16"
"1796686774","09/15/15","ESL One NY 2015 Americas Qualifiers","Boreal 2","coL 2","DIRE","Quarterfinals","1","55.07","31 - 33"
"1796628725","09/15/15","ESL One NY 2015 Americas Qualifiers","coL 2","Boreal 2","RADIANT","Quarterfinals","2","50.37","20 - 7"
"1796576016","09/15/15","ESL One NY 2015 Americas Qualifiers","bS","HCWP","DIRE","Quarterfinals","3","49.77","28 - 45"
"1796515913","09/15/15","The Defense 5 Qualifiers","OG","GB","RADIANT","Group Stage","2","22.70","22 - 11"
"1796509885","09/15/15","ESL One NY 2015 Americas Qualifiers","HCWP","bS","RADIANT","Quarterfinals","2","49.60","47 - 25"
"1796451494","09/15/15","The Defense 5 Qualifiers","GB","OG","DIRE","Group Stage","1","31.60","9 - 22"
"1796430175","09/15/15","ESL One NY 2015 Americas Qualifiers","bS","HCWP","RADIANT","Quarterfinals","1","50.45","31 - 32"
"1796235464","09/15/15","The Defense 5 Qualifiers","MFF","Power Rangers","DIRE","","","44.35","24 - 21"
"1795423097","09/15/15","NanYang China Qualifiers","FTD.A","Team HGT","RADIANT","Group Stage","1","45.63","24 - 11"
