"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"2092968926","01/20/16","WePlay 3 Americas Qualifiers","E.Wolves","Archon","RADIANT","","","26.28","38 - 17"
"2180357452","02/26/16","WePlay 3 EU Qualifiers","NaVi","PD 2","RADIANT","","","26.42","32 - 11"
"2104680614","01/25/16","Uprise Champions Cup Special","Enso 2","Unknown","RADIANT","","","26.58","30 - 12"
"2108548897","01/27/16","MarsTV League Winter 2015 Finals","Secret","Mineski","RADIANT","","","26.72","30 - 7"
"2114744832","01/29/16","MarsTV League Winter 2015 Finals","LGD.cn","Nb","DIRE","","","26.75","5 - 21"
"2128594760","02/04/16","Canada Cup 6","coL 2","E.Wolves","DIRE","","","26.78","16 - 29"
"2161061177","02/18/16","Uprise Champions Cup Special","ATN","FF","DIRE","","","26.97","7 - 21"
"2117469845","01/30/16","MarsTV League Winter 2015 Finals","OG","EG","DIRE","","","26.97","6 - 35"
"2191531548","03/02/16","Shanghai Major Finals","LGD.cn","MVP Phoenix","DIRE","","","27.03","14 - 25"
"2193199056","03/02/16","Shanghai Major Finals","OG","Secret","RADIANT","","","27.05","16 - 17"
"2147218943","02/12/16","ESL One EU Qualifiers","AF  3","NaVi","RADIANT","","","27.12","26 - 11"
"2159440958","02/17/16","WePlay 3 Americas Qualifiers","E.Wolves","Shazam","RADIANT","","","27.17","26 - 10"
"2092314362","01/20/16","MarsTV League 2015 China Qualifiers","Way","Nb","DIRE","UB Quarterfinals","2","27.30","9 - 25"
"2128235494","02/04/16","WePlay 3 EU Qualifiers","AF  3","WG 2","RADIANT","","","27.32","35 - 11"
"2110484192","01/28/16","MarsTV League Winter 2015 Finals","EG","EHOME","DIRE","","","27.35","12 - 27"
"2092844919","01/20/16","WePlay 3 EU Qualifiers","STEAK","Liquid","DIRE","","","27.35","9 - 23"
"2107751616","01/26/16","MarsTV League Winter 2015 Finals","coL 2","EHOME","RADIANT","","","27.38","28 - 9"
"2108320103","01/27/16","MarsTV League Winter 2015 Finals","Mineski","LGD.cn","DIRE","","","27.43","13 - 30"
"2107079164","01/26/16","WePlay 3 EU Qualifiers","Liquid","NLG","RADIANT","","","27.55","26 - 17"
